"DONNEES - Densité de médecins pour 100.000 habitants"
"ANNEE - 2016"
"EXERCICE AGREG - Ensemble des modes d'exercice"

SPECIALITE,"Ensemble des spécialités d'exercice","Spécialistes","Anatomie et cytologie pathologiques","Anesthésie-réanimation","Biologie médicale","Cardiologie et maladies vasculaires","Chirurgie générale","Chirurgie maxillo-faciale et stomatologie","Chirurgie orthopédique et traumatologie","Chirurgie infantile","Chirurgie plastique reconstructrice et esthétique","Chirurgie thoracique et cardio-vasculaire","Chirurgie urologique","Chirurgie vasculaire","Chirurgie viscérale et digestive","Dermatologie et vénéréologie","Endocrinologie et métabolisme","Génétique médicale","Gériatrie","Gynécologie médicale","Gynécologie-obstétrique","Hématologie","Gastro-entérologie et hépatologie","Médecine du travail","Médecine interne","Médecine nucléaire","Médecine physique et réadaptation","Néphrologie","Neurochirurgie","Neurologie","ORL et chirurgie cervico-faciale","Oncologie option médicale","Ophtalmologie","Pédiatrie","Pneumologie","Psychiatrie","Radiodiagnostic et imagerie médicale","Radiothérapie","Réanimation médicale","Recherche médicale","Rhumatologie","Santé publique et médecine sociale","Généralistes","Médecine générale"
"ZONE INSCRIPT",
"Alsace-Champagne-Ardenne-Lorraine",319.9,169.5,2,16.8,4,10.5,6,0.8,4.9,0.4,1.1,0.7,1.8,0.8,1.5,5.2,2.2,0.4,2.9,8.300000000000001,18.4,0.5,5.1,8.800000000000001,4.1,1.1,3.9,2.4,0.8,3.3,4.1,1.1,7.6,62.2,4.3,17.6,12.7,1.3,0.7,0,3.4,2.4,150.4,150.4
"Aquitaine-Limousin-Poitou-Charentes",334.4,168.8,2.4,16.4,4.5,10.8,5.1,1.6,5,0.3,0.9,0.7,1.9,0.9,1.5,5.9,2.5,0.3,2.1,11.9,12.9,0.9,5.2,7.6,3.4,1,2.9,2,0.6,3.6,4.2,1.2,8.5,51.7,3.7,21.7,12.6,1.4,0.4,0,3.3,2.3,165.6,165.6
"Auvergne-Rhône-Alpes",336.9,180.2,2.5,18.1,3.9,9.5,5.7,1.8,5.3,0.5,1.2,0.6,1.9,1,1.2,5.3,2.8,0.4,2.6,9.800000000000001,16.9,1,5.1,9.199999999999999,3.5,1,3.1,2.5,1,3.7,4.1,1.4,8.6,61.2,4.4,22.9,12.8,1.3,0.3,0,4.4,2.7,156.7,156.7
"Bourgogne-Franche-Comté",294.6,148.9,1.7,14.4,3.6,8.1,4.6,1.2,5.1,0.4,0.9,0.6,1.9,0.6,2.1,4.9,2,0.3,2.5,6.4,13.4,0.9,4.9,6.9,3.4,1.2,2.4,2.2,0.8,3.7,3.5,1.7,6.2,48.5,4.4,17.3,10.4,1.2,0.5,0,3.1,2.6,145.7,145.7
"Bretagne",315.7,158.2,1.9,15.2,3.9,9.300000000000001,4,0.6,4.5,0.5,0.7,0.7,1.9,0.8,1.9,4.9,2,0.2,2.6,7.9,14.4,1,5.9,8,2.8,1,4.2,2.2,0.6,3.2,3.8,1.2,7.3,53.2,4.6,18.9,10.7,1.2,0.2,0,3.9,2.2,157.5,157.5
"Centre-Val de Loire",268,140.8,1.8,11.8,3.6,8.699999999999999,4.5,1.2,3.9,0.3,0.8,0.4,1.7,0.8,1.2,4.4,2,0.3,2.6,7.5,14.5,1,4.6,6.8,3.2,0.9,1.9,2.2,0.7,2.3,3.8,1,6.4,51.7,3.3,15.9,11,1.4,0.4,0,3.5,1.6,127.3,127.3
"Corse",298.3,142.9,1.2,12.8,4,10.7,4,1.8,4.3,0.6,1.2,0,2.4,0.9,1.5,4.3,2.1,0,0.9,8.4,9.1,0,5.8,5.8,2.1,1.2,3.4,1.5,1.2,2.1,4.3,1.2,8.6,55.2,3.7,17.4,11.3,0.9,0,0,2.4,0.6,155.4,155.4
"Ile-de-France",398.3,248.8,3.3,19.3,6.4,13.7,6.7,2.7,5.1,0.6,2.3,0.9,1.7,0.7,1.5,9,3.9,0.6,4,19.9,20.6,1.5,7.1,10.3,5.8,1.3,2.9,3.1,0.9,5,6.5,2.4,12.4,95.3,5.4,36.7,17.1,1.5,1,0,5.5,4,149.5,149.5
"Languedoc-Roussillon-Midi-Pyrénées",355.6,187.5,2.7,18.8,4.4,10.7,4.9,2.1,5.5,0.4,1.3,0.7,1.9,0.8,1.8,6.4,3.9,0.3,2.5,10,14.4,0.8,5.6,7.8,3.4,1,4.4,2.8,0.9,4,5.1,1.1,9.1,67.5,5,22.2,13.9,1.3,0.5,0,4.8,2.8,168,168
"Nord-Pas-de-Calais-Picardie",299.9,150.8,1.6,14,3.3,8.9,5.6,1.4,4.2,0.4,0.7,0.5,1.9,0.7,1.2,4,2.5,0.2,2.6,9.6,15.7,0.8,4.9,7.3,2.3,1.2,3.1,2.1,0.7,3.7,3.3,0.9,7,51.1,4.8,15.8,12.4,1.1,0.5,0,2.8,1.5,149.1,149.1
"Normandie",290,147.1,1.9,13.7,3.6,7.8,5.4,1.9,3.7,0.4,0.6,0.5,1.5,0.8,1.5,4.4,1.9,0.2,2.5,7.9,14.1,0.7,5.2,6.7,2.5,0.8,2.2,2.5,0.8,3.1,4.5,1.2,7.1,54.6,4.4,15.9,10.8,1.3,0.3,0,3.4,1.8,142.9,142.9
"Pays de la Loire",286,142.8,2,14.5,3.5,7.3,4.1,1.7,4.3,0.4,0.9,0.5,1.7,0.9,1.6,4.4,1.9,0.3,1.9,7,14.1,0.9,4.7,8.5,2.7,1,2.5,2.2,0.6,2.7,3.5,1.4,7.9,40.8,3.3,16.8,9.199999999999999,1.2,0.6,0,2.8,1.5,143.2,143.2
"Provence-Alpes-Côte d’Azur",407.8,227.4,3.3,23,5.9,15.1,6.2,2.6,6.2,0.7,2.6,0.7,2.3,1.3,1.8,8.800000000000001,3.5,0.4,1.7,12.1,21.1,0.8,6.7,9.300000000000001,3.4,1.2,4.1,2.7,0.8,3.9,6.3,1.7,12.3,81.2,5.6,28.7,16.4,1.3,0.5,0,4.5,2.7,180.4,180.4
